barcode,split,plate,plate_index,plate_row,plate_col,Well Position
BC379,2,P3,94,7,10,H11
BC383,2,P3,95,7,11,H12
BC4,2,P4,0,0,0,A01
BC8,2,P4,1,0,1,A02
BC12,2,P4,2,0,2,A03
BC16,2,P4,3,0,3,A04
BC20,2,P4,4,0,4,A05
BC24,2,P4,5,0,5,A06
BC28,2,P4,6,0,6,A07
BC32,2,P4,7,0,7,A08
BC36,2,P4,8,0,8,A09
BC40,2,P4,9,0,9,A10
BC44,2,P4,10,0,10,A11
BC48,2,P4,11,0,11,A12
BC52,2,P4,12,1,0,B01
BC56,2,P4,13,1,1,B02
BC60,2,P4,14,1,2,B03
BC64,2,P4,15,1,3,B04
BC68,2,P4,16,1,4,B05
BC72,2,P4,17,1,5,B06
BC76,2,P4,18,1,6,B07
BC80,2,P4,19,1,7,B08
BC84,2,P4,20,1,8,B09
BC88,2,P4,21,1,9,B10
BC92,2,P4,22,1,10,B11
BC96,2,P4,23,1,11,B12
BC100,2,P4,24,2,0,C01
BC104,2,P4,25,2,1,C02
BC108,2,P4,26,2,2,C03
BC112,2,P4,27,2,3,C04
BC116,2,P4,28,2,4,C05
BC120,2,P4,29,2,5,C06
BC124,2,P4,30,2,6,C07
BC128,2,P4,31,2,7,C08
BC132,2,P4,32,2,8,C09
BC136,2,P4,33,2,9,C10
BC140,2,P4,34,2,10,C11
BC144,2,P4,35,2,11,C12
BC148,2,P4,36,3,0,D01
BC152,2,P4,37,3,1,D02
BC156,2,P4,38,3,2,D03
BC160,2,P4,39,3,3,D04
BC164,2,P4,40,3,4,D05
BC168,2,P4,41,3,5,D06
BC172,2,P4,42,3,6,D07
BC176,2,P4,43,3,7,D08
BC180,2,P4,44,3,8,D09
BC184,2,P4,45,3,9,D10
BC188,2,P4,46,3,10,D11
BC192,2,P4,47,3,11,D12
BC196,2,P4,48,4,0,E01
BC200,2,P4,49,4,1,E02
BC204,2,P4,50,4,2,E03
BC208,2,P4,51,4,3,E04
BC212,2,P4,52,4,4,E05
BC216,2,P4,53,4,5,E06
BC220,2,P4,54,4,6,E07
BC224,2,P4,55,4,7,E08
BC228,2,P4,56,4,8,E09
BC232,2,P4,57,4,9,E10
BC236,2,P4,58,4,10,E11
BC240,2,P4,59,4,11,E12
BC244,2,P4,60,5,0,F01
BC248,2,P4,61,5,1,F02
BC252,2,P4,62,5,2,F03
BC256,2,P4,63,5,3,F04
BC260,2,P4,64,5,4,F05
BC264,2,P4,65,5,5,F06
BC268,2,P4,66,5,6,F07
BC272,2,P4,67,5,7,F08
BC276,2,P4,68,5,8,F09
BC280,2,P4,69,5,9,F10
BC284,2,P4,70,5,10,F11
BC288,2,P4,71,5,11,F12
BC292,2,P4,72,6,0,G01
BC296,2,P4,73,6,1,G02
BC300,2,P4,74,6,2,G03
BC304,2,P4,75,6,3,G04
BC308,2,P4,76,6,4,G05
BC312,2,P4,77,6,5,G06
BC316,2,P4,78,6,6,G07
BC320,2,P4,79,6,7,G08
BC324,2,P4,80,6,8,G09
BC328,2,P4,81,6,9,G10
BC332,2,P4,82,6,10,G11
BC336,2,P4,83,6,11,G12
BC340,2,P4,84,7,0,H01
BC344,2,P4,85,7,1,H02
BC348,2,P4,86,7,2,H03
BC352,2,P4,87,7,3,H04
BC356,2,P4,88,7,4,H05
BC360,2,P4,89,7,5,H06
BC364,2,P4,90,7,6,H07
BC368,2,P4,91,7,7,H08
BC372,2,P4,92,7,8,H09
BC376,2,P4,93,7,9,H10
BC380,2,P4,94,7,10,H11
BC384,2,P4,95,7,11,H12
BC385,1,P5,0,0,0,A01
BC386,1,P5,1,0,1,A02
BC387,1,P5,2,0,2,A03
BC388,1,P5,3,0,3,A04
BC389,1,P5,4,0,4,A05
BC390,1,P5,5,0,5,A06
BC391,1,P5,6,0,6,A07
BC392,1,P5,7,0,7,A08
BC393,1,P5,8,0,8,A09
BC394,1,P5,9,0,9,A10
BC395,1,P5,10,0,10,A11
BC396,1,P5,11,0,11,A12
BC397,1,P5,12,1,0,B01
BC398,1,P5,13,1,1,B02
BC399,1,P5,14,1,2,B03
BC400,1,P5,15,1,3,B04
BC401,1,P5,16,1,4,B05
BC402,1,P5,17,1,5,B06
BC403,1,P5,18,1,6,B07
BC404,1,P5,19,1,7,B08
BC405,1,P5,20,1,8,B09
BC406,1,P5,21,1,9,B10
BC407,1,P5,22,1,10,B11
BC408,1,P5,23,1,11,B12
BC409,1,P5,24,2,0,C01
BC410,1,P5,25,2,1,C02
BC411,1,P5,26,2,2,C03
BC412,1,P5,27,2,3,C04
BC413,1,P5,28,2,4,C05
BC414,1,P5,29,2,5,C06
BC415,1,P5,30,2,6,C07
BC416,1,P5,31,2,7,C08
BC417,1,P5,32,2,8,C09
BC418,1,P5,33,2,9,C10
BC419,1,P5,34,2,10,C11
BC420,1,P5,35,2,11,C12
BC421,1,P5,36,3,0,D01
BC422,1,P5,37,3,1,D02
BC423,1,P5,38,3,2,D03
BC424,1,P5,39,3,3,D04
BC425,1,P5,40,3,4,D05
BC426,1,P5,41,3,5,D06
BC427,1,P5,42,3,6,D07
BC428,1,P5,43,3,7,D08
BC429,1,P5,44,3,8,D09
BC430,1,P5,45,3,9,D10
BC431,1,P5,46,3,10,D11
BC432,1,P5,47,3,11,D12
BC433,1,P5,48,4,0,E01
BC434,1,P5,49,4,1,E02
BC435,1,P5,50,4,2,E03
BC436,1,P5,51,4,3,E04
BC437,1,P5,52,4,4,E05
BC438,1,P5,53,4,5,E06
BC439,1,P5,54,4,6,E07
BC440,1,P5,55,4,7,E08
BC441,1,P5,56,4,8,E09
BC442,1,P5,57,4,9,E10
BC443,1,P5,58,4,10,E11
BC444,1,P5,59,4,11,E12
BC445,1,P5,60,5,0,F01
BC446,1,P5,61,5,1,F02
BC447,1,P5,62,5,2,F03
BC448,1,P5,63,5,3,F04
BC449,1,P5,64,5,4,F05
BC450,1,P5,65,5,5,F06
BC451,1,P5,66,5,6,F07
BC452,1,P5,67,5,7,F08
BC453,1,P5,68,5,8,F09
BC454,1,P5,69,5,9,F10
BC455,1,P5,70,5,10,F11
BC456,1,P5,71,5,11,F12
BC457,1,P5,72,6,0,G01
BC458,1,P5,73,6,1,G02
BC459,1,P5,74,6,2,G03
BC460,1,P5,75,6,3,G04
BC461,1,P5,76,6,4,G05
BC462,1,P5,77,6,5,G06
BC463,1,P5,78,6,6,G07
BC464,1,P5,79,6,7,G08
BC465,1,P5,80,6,8,G09
BC466,1,P5,81,6,9,G10
BC467,1,P5,82,6,10,G11
BC468,1,P5,83,6,11,G12
BC469,1,P5,84,7,0,H01
BC470,1,P5,85,7,1,H02
BC471,1,P5,86,7,2,H03
BC472,1,P5,87,7,3,H04
BC473,1,P5,88,7,4,H05
BC474,1,P5,89,7,5,H06
BC475,1,P5,90,7,6,H07
BC476,1,P5,91,7,7,H08
BC477,1,P5,92,7,8,H09
BC478,1,P5,93,7,9,H10
BC479,1,P5,94,7,10,H11
BC480,1,P5,95,7,11,H12
BC385,2,P5,0,0,0,A01
BC386,2,P5,1,0,1,A02
BC387,2,P5,2,0,2,A03
BC388,2,P5,3,0,3,A04
BC389,2,P5,4,0,4,A05
BC390,2,P5,5,0,5,A06
BC391,2,P5,6,0,6,A07
BC392,2,P5,7,0,7,A08
BC393,2,P5,8,0,8,A09
BC394,2,P5,9,0,9,A10
BC395,2,P5,10,0,10,A11
BC396,2,P5,11,0,11,A12
BC397,2,P5,12,1,0,B01
BC398,2,P5,13,1,1,B02
BC399,2,P5,14,1,2,B03
BC400,2,P5,15,1,3,B04
BC401,2,P5,16,1,4,B05
BC402,2,P5,17,1,5,B06
BC403,2,P5,18,1,6,B07
BC404,2,P5,19,1,7,B08
BC405,2,P5,20,1,8,B09
BC406,2,P5,21,1,9,B10
BC407,2,P5,22,1,10,B11
BC408,2,P5,23,1,11,B12
BC409,2,P5,24,2,0,C01
BC410,2,P5,25,2,1,C02
BC411,2,P5,26,2,2,C03
BC412,2,P5,27,2,3,C04
BC413,2,P5,28,2,4,C05
BC414,2,P5,29,2,5,C06
BC415,2,P5,30,2,6,C07
BC416,2,P5,31,2,7,C08
BC417,2,P5,32,2,8,C09
BC418,2,P5,33,2,9,C10
BC419,2,P5,34,2,10,C11
BC420,2,P5,35,2,11,C12
BC421,2,P5,36,3,0,D01
BC422,2,P5,37,3,1,D02
BC423,2,P5,38,3,2,D03
BC424,2,P5,39,3,3,D04
BC425,2,P5,40,3,4,D05
BC426,2,P5,41,3,5,D06
BC427,2,P5,42,3,6,D07
BC428,2,P5,43,3,7,D08
BC429,2,P5,44,3,8,D09
BC430,2,P5,45,3,9,D10
BC431,2,P5,46,3,10,D11
BC432,2,P5,47,3,11,D12
BC433,2,P5,48,4,0,E01
BC434,2,P5,49,4,1,E02
BC435,2,P5,50,4,2,E03
BC436,2,P5,51,4,3,E04
BC437,2,P5,52,4,4,E05
BC438,2,P5,53,4,5,E06
BC439,2,P5,54,4,6,E07
BC440,2,P5,55,4,7,E08
BC441,2,P5,56,4,8,E09
BC442,2,P5,57,4,9,E10
BC443,2,P5,58,4,10,E11
BC444,2,P5,59,4,11,E12
BC445,2,P5,60,5,0,F01
BC446,2,P5,61,5,1,F02
BC447,2,P5,62,5,2,F03
BC448,2,P5,63,5,3,F04
BC449,2,P5,64,5,4,F05
BC450,2,P5,65,5,5,F06
BC451,2,P5,66,5,6,F07
BC452,2,P5,67,5,7,F08
BC453,2,P5,68,5,8,F09
BC454,2,P5,69,5,9,F10
BC455,2,P5,70,5,10,F11
BC456,2,P5,71,5,11,F12
BC457,2,P5,72,6,0,G01
BC458,2,P5,73,6,1,G02
BC459,2,P5,74,6,2,G03
BC460,2,P5,75,6,3,G04
BC461,2,P5,76,6,4,G05
BC462,2,P5,77,6,5,G06
BC463,2,P5,78,6,6,G07
BC464,2,P5,79,6,7,G08
BC465,2,P5,80,6,8,G09
BC466,2,P5,81,6,9,G10
BC467,2,P5,82,6,10,G11
BC468,2,P5,83,6,11,G12
BC469,2,P5,84,7,0,H01
BC470,2,P5,85,7,1,H02
BC471,2,P5,86,7,2,H03
BC472,2,P5,87,7,3,H04
BC473,2,P5,88,7,4,H05
BC474,2,P5,89,7,5,H06
BC475,2,P5,90,7,6,H07
BC476,2,P5,91,7,7,H08
BC477,2,P5,92,7,8,H09
BC478,2,P5,93,7,9,H10
BC479,2,P5,94,7,10,H11
BC480,2,P5,95,7,11,H12
